hip_y,head_y,spine_angle,body_height,hip_velocity,head_velocity,visibility,label
0.6579,0.2178,1.23,0.8545,-0.0902,-0.1101,1.0,0
0.6532,0.219,1.58,0.8522,-0.1422,0.0359,1.0,0
0.659,0.2212,1.23,0.8404,0.1766,0.0654,1.0,0
0.6527,0.2231,1.59,0.8164,-0.1914,0.058,1.0,0
0.6577,0.2247,1.61,0.8462,0.1527,0.0478,1.0,0
0.6536,0.2198,1.66,0.8358,-0.1232,-0.147,1.0,0
0.6522,0.2162,1.19,0.8258,-0.0412,-0.1104,1.0,0
0.6578,0.2167,1.05,0.8517,0.1684,0.0151,1.0,0
0.6576,0.2154,0.82,0.8528,-0.0052,-0.0391,1.0,0
0.6607,0.2119,0.99,0.8678,0.0945,-0.1066,1.0,0
0.6599,0.2166,1.17,0.8626,-0.0244,0.1415,1.0,0
0.6584,0.2156,0.84,0.8672,-0.0463,-0.0317,0.999,0
0.6594,0.2171,0.93,0.8621,0.0305,0.045,0.999,0
0.6621,0.2135,0.83,0.8669,0.0806,-0.1078,1.0,0
0.6623,0.2162,1.05,0.8686,0.0061,0.0816,0.999,0
0.6619,0.2128,0.8,0.8769,-0.0128,-0.102,0.999,0
0.6627,0.2113,0.76,0.878,0.0236,-0.0464,0.999,0
0.6624,0.2109,0.77,0.8747,-0.0078,-0.0134,0.999,0
0.6629,0.2083,0.54,0.8723,0.0148,-0.0795,1.0,0
0.6618,0.2072,0.32,0.8689,-0.0339,-0.034,1.0,0
0.6619,0.2075,0.76,0.8652,0.0025,0.008,1.0,0
0.6673,0.2067,0.46,0.8669,0.1641,-0.0242,1.0,0
0.6629,0.2039,0.48,0.879,-0.1337,-0.086,1.0,0
0.665,0.207,0.6,0.8777,0.0623,0.0937,1.0,0
0.6601,0.2051,0.68,0.8765,-0.1491,-0.0561,1.0,0
0.6611,0.2066,0.63,0.8761,0.0316,0.044,1.0,0
0.6628,0.2067,0.84,0.88,0.0511,0.0035,1.0,0
0.6549,0.2053,0.72,0.8658,-0.2387,-0.0435,1.0,0
0.6597,0.2064,0.62,0.873,0.1469,0.0342,1.0,0
0.6613,0.2054,0.93,0.8712,0.0474,-0.0296,1.0,0
0.6632,0.2051,1.26,0.8856,0.0583,-0.0089,1.0,0
0.6613,0.2075,0.99,0.8788,-0.0574,0.0727,1.0,0
0.6639,0.2075,1.06,0.8791,0.0793,-0.0009,1.0,0
0.6596,0.2075,0.96,0.8723,-0.1308,-0.0003,1.0,0
0.6629,0.2092,0.93,0.8737,0.0993,0.0517,1.0,0
0.6635,0.2099,0.93,0.8716,0.0179,0.0223,1.0,0
0.6635,0.2053,1.3,0.8637,0.0013,-0.1381,1.0,0
0.6674,0.2069,1.24,0.8748,0.118,0.0487,1.0,0
0.6673,0.2082,1.22,0.8738,-0.0044,0.0396,1.0,0
0.6705,0.2062,1.5,0.8893,0.097,-0.0595,1.0,0
0.669,0.2053,1.63,0.8875,-0.0459,-0.0266,1.0,0
0.6688,0.2079,1.49,0.8839,-0.0054,0.0788,0.999,0
0.6693,0.2061,1.44,0.8923,0.0147,-0.055,0.999,0
0.6697,0.2051,1.4,0.8886,0.0136,-0.0314,0.999,0
0.6677,0.2022,1.71,0.8885,-0.0603,-0.0887,0.999,0
0.6693,0.2019,1.63,0.8967,0.0489,-0.0088,0.999,0
0.6679,0.1986,1.84,0.8902,-0.0426,-0.0991,0.999,0
0.6717,0.2004,2.05,0.8899,0.1155,0.0537,0.999,0
0.6705,0.2012,1.97,0.8833,-0.0369,0.0256,1.0,0
0.6682,0.2041,1.57,0.8888,-0.0708,0.0871,1.0,0
0.6703,0.2047,1.45,0.8863,0.0642,0.0191,1.0,0
0.6682,0.2047,1.31,0.8894,-0.0638,-0.0001,0.999,0
0.6687,0.2043,1.57,0.8887,0.0163,-0.0129,1.0,0
0.6689,0.2031,1.7,0.8776,0.0049,-0.0378,0.999,0
0.6689,0.2042,1.64,0.8822,0.0012,0.0342,0.999,0
0.6684,0.2048,1.74,0.8843,-0.0149,0.0184,1.0,0
0.6708,0.2051,1.71,0.8838,0.0721,0.0094,1.0,0
0.6674,0.2033,1.67,0.8792,-0.103,-0.0545,0.999,0
0.6684,0.2002,1.99,0.8967,0.0288,-0.0951,0.999,0
0.6652,0.2023,1.6,0.8876,-0.0963,0.0651,0.999,0
0.6695,0.2048,1.69,0.8935,0.1289,0.0744,0.999,0
0.671,0.2042,1.47,0.885,0.0467,-0.0173,1.0,0
0.6697,0.204,1.61,0.8817,-0.0388,-0.005,0.999,0
0.6684,0.2063,1.52,0.8906,-0.0405,0.0686,0.999,0
0.6688,0.2028,1.66,0.8911,0.0124,-0.1055,0.999,0
0.6681,0.2032,1.68,0.8916,-0.0219,0.0132,0.999,0
0.6671,0.2059,2.23,0.8907,-0.0303,0.0821,0.999,0
0.6706,0.2052,1.89,0.9067,0.1058,-0.0214,0.999,0
0.6691,0.2056,2.06,0.8822,-0.0452,0.0113,0.999,0
0.6677,0.2059,1.84,0.8937,-0.0435,0.0095,0.999,0
0.6696,0.2052,1.78,0.8838,0.0587,-0.0204,0.999,0
0.6699,0.2041,1.73,0.884,0.0077,-0.0333,0.999,0
0.6677,0.2044,1.43,0.877,-0.0657,0.009,1.0,0
0.6698,0.2045,1.55,0.8885,0.0638,0.0041,1.0,0
0.6703,0.2033,1.14,0.8954,0.0156,-0.0367,1.0,0
0.6704,0.2035,1.4,0.8892,0.0041,0.0072,1.0,0
0.6691,0.2032,1.09,0.8976,-0.0393,-0.0093,1.0,0
0.6716,0.2017,1.24,0.8948,0.0763,-0.0442,1.0,0
0.6696,0.2022,1.23,0.8901,-0.0596,0.0157,1.0,0
0.6713,0.2012,1.21,0.9035,0.0501,-0.0294,1.0,0
0.6694,0.205,1.12,0.8975,-0.0579,0.1161,1.0,0
0.668,0.2028,1.07,0.8949,-0.043,-0.066,1.0,0
0.6697,0.2035,1.39,0.8978,0.0523,0.0209,0.999,0
0.6673,0.2072,1.8,0.893,-0.0725,0.1126,0.999,0
